geoid,over_65,total
34029720205,1675,2079
12009063102,1674,3917
12071050322,1674,1772
36061015900,1674,5164
10005051302,1673,2585
36061017300,1673,4361
36061022500,1672,3845
48029182101,1672,5665
25001012001,1670,2862
06065940600,1669,2316
34025804802,1668,1855
06065043229,1660,2316
12115000103,1660,2598
12109021408,1659,3223
23027043000,1659,3289
37021002204,1658,3959
37129012300,1656,3715
48265960700,1654,2686
12111382127,1653,2595
13111050400,1651,3313
36061010601,1651,3960
34029734004,1650,2635
36061018900,1650,4641
17197880901,1648,2640
04013216819,1646,2566
04019004650,1645,2727
06095252911,1645,2638
12071001915,1641,1722
12099005938,1641,2169
36047105804,1641,3017
37037020104,1640,2837
32003005713,1639,2798
12081002023,1635,3263
18039000302,1635,2834
12031016804,1633,3397
04025002007,1632,2756
09120081300,1632,2573
23031038001,1628,3490
12061050806,1624,2610
34001010501,1622,3855
41067030803,1622,2725
12105012502,1621,5584
37019020515,1621,2289
12086005701,1619,2625
12099007837,1618,3300
45051051609,1617,3004
04013420206,1615,2211
36061018700,1613,3957
04013216829,1610,2573
04025001904,1610,2865
04013040514,1609,1754
04019004317,1607,1952
04013816301,1606,1752
12127082904,1606,2731
49053270904,1606,2670
12009064127,1604,3689
12081000407,1603,2074
04013040525,1601,1713
06077005135,1599,3030
12011020212,1599,2453
36047035602,1598,3074
12111381900,1597,2718
36081094203,1592,2927
06065044103,1591,2679
45051060406,1591,2872
06081613200,1587,2592
32003003621,1587,1753
12099006006,1586,1878
36061000800,1586,4324
46103011002,1586,3401
12035060207,1583,2641
12069030803,1583,2836
48157675502,1583,6095
12081001204,1582,2619
04013010102,1581,2824
04019004404,1581,2093
12105012514,1581,3774
42045410305,1581,2769
12069030306,1577,2645
47009011102,1575,3672
36061008603,1574,2759
12109020904,1573,4980
04013422618,1572,1773
12001002204,1571,4857
49053270802,1571,3449
12081002005,1568,2809
45051040300,1568,2570
12035060218,1567,2507
12099006607,1567,2394
32003005722,1567,1810
36103158410,1566,2003
45051060203,1566,3839
17031820101,1564,3263
48201542902,1564,9986
12105012804,1563,2833
12015020103,1560,2845
12083002503,1559,3156
12035060213,1558,3124
36055014202,1558,3459
12099005944,1557,1698
12103026912,1557,2320
06073019808,1555,2376
04003001801,1553,2454
04019004307,1553,1887
39061025103,1553,3003
12021010208,1552,1959
17031801608,1552,2599
36061013800,1551,6500
12105014804,1550,3866
53011041310,1548,2389
12069030408,1547,2172
12115002737,1547,2748
12127083003,1547,2842
04013040502,1546,2340
44009050901,1546,3014
53033032327,1545,2086
12071050320,1544,2470
08005086600,1543,2922
35043010702,1543,3189
01003011504,1542,3096
12101030304,1542,2720
04013617500,1538,1902
42017106202,1538,1836
04021000802,1536,2736
36103169706,1536,2331
32003003262,1535,1632
48157673300,1535,3128
53035090101,1535,2374
48491020203,1534,1807
12105014123,1532,2950
17031031300,1532,4459
06067005901,1529,2715
06037920031,1528,2651
36061009300,1528,5568
45051040102,1528,2932
72013301100,1528,2755
06097150303,1527,1967
06065044929,1526,2262
12015020401,1526,1922
36119014903,1526,1944
12109021208,1525,2507
04021000805,1523,2727
12021010423,1523,3325
12119911301,1523,2186
25023542200,1523,2705
34023008207,1523,1716
04013615400,1522,1719
12111381507,1522,2649
17119402721,1522,3328
12109020705,1521,2900
04013030401,1520,2423
12015010505,1519,2462
12099001913,1519,1773
06065042752,1518,2172
34031264102,1517,3253
04007000400,1516,2743
53031950501,1516,2365
08035014131,1515,3628
17119403533,1515,4439
26125136800,1515,2789
12017451604,1514,1930
12115002733,1514,1949
12119911205,1514,1624
25027730600,1513,3147
32023960408,1513,2603
51087200904,1513,2927
36061024700,1512,2672
04021002200,1510,2139
04013061054,1509,3501
12069031306,1509,4113
34041032200,1509,4057
12099005959,1506,1983
51810040404,1506,3668
12083001005,1505,3124
12103028104,1505,1977
36061011800,1505,5306
02122000400,1503,3444
12001001701,1502,3164
12021010215,1502,1719
12105012512,1501,2265
45051051403,1501,2771
12085000400,1500,3076
36061015700,1500,6425
12103027501,1499,2841
48113009604,1499,2194
06037408900,1498,2315
06065044928,1498,1939
06111001002,1498,2840
12011060207,1498,2134
12105012003,1498,3081
47189030202,1498,4068
12015020900,1497,2839
12057014012,1497,1679
17031100300,1497,2694
41053005301,1496,3425
12099005933,1495,1740
01003011503,1492,4076
04025000407,1492,2092
06057000102,1491,2854
12095017902,1491,2878
04025000206,1490,2510
04025001605,1489,2454
04013040513,1487,1622
04013420104,1487,2371
12083002704,1487,2124
12099007741,1487,2477
12081002021,1486,3449
12099005923,1486,1935
17031080100,1486,4314
39113040406,1486,3250
45073030202,1486,1931
04021000206,1485,3656
17167003100,1485,3326
37037020703,1485,2497
25021417901,1484,4278
12109021301,1482,3127
04007000301,1480,2596
04013817400,1479,1871
12071010404,1479,3543
41051009400,1479,2966
01003011501,1477,3531
09110492600,1477,2899
36081006201,1477,3136
12099000410,1476,2141
32003005721,1476,1566
34023008213,1476,2426
36061001600,1476,3385
36061023600,1476,4240
04013817500,1475,1685
12015020700,1475,2427
36081045500,1475,4434
41039000707,1474,2185
32003005903,1473,1988
42041011607,1473,2861
44001030902,1473,2960
12099005930,1472,2123
36081155101,1471,1535
13057090303,1470,2814
12103026911,1469,2072
13123080200,1468,2410
12021010210,1467,1889
45051051502,1467,3798
37059080301,1466,2501
12083001010,1465,2031
12099005953,1464,2167
34041031601,1464,2209
06065044917,1463,1972
12011030704,1463,2463
12099004012,1463,2493
42029304900,1463,3060
51550020804,1463,4215
36061019300,1462,4136
42119090502,1462,2827
12017450602,1461,2227
17031802605,1461,3143
12101031708,1460,2589
51107611018,1459,2313
12099007421,1458,2016
25003914100,1458,2668
12086000132,1457,2846
06079012305,1456,2427
06097150603,1454,3154
12115002742,1454,2671
32031001013,1454,2678
45013002106,1454,3933
17031824503,1453,2952
36065025200,1453,2292
39139002101,1453,2622
12055961301,1451,2870
39043040400,1451,2710
12061050809,1450,2560
37101040207,1450,4511
12127090807,1449,2325
45013010600,1449,1970
05051012002,1448,2076
12011060505,1448,2673
48339694503,1448,4247
12015020301,1447,2804
42049011202,1447,3356
12109020908,1445,4347
35043010732,1445,2687
54055001700,1445,2375
12083000808,1444,1601
12099005921,1444,2926
12103026820,1444,2506
42091207800,1444,3316
42129802102,1444,2821
53073000102,1444,3752
04013116708,1443,2803
06073020308,1443,3056
12127083205,1443,2892
12069030601,1442,2432
12109020606,1441,4266
01117030352,1440,2611
12099007005,1440,1853
36061026100,1440,3698
04013420709,1438,1967
12021010435,1437,2316
18063210611,1436,4911
25001011100,1436,2480
34029713300,1436,2060
06041103200,1435,2594
55009002001,1435,3745
32005002200,1433,2682
37019020516,1433,2371
45051051603,1433,3330
46033965100,1433,2920
49053270601,1433,2800
01003011410,1432,3341
06057000401,1431,2278
51041100928,1431,3726
06059062647,1430,2550
12011020213,1430,2442
24031703218,1430,1470
36061015200,1429,3665
06097150203,1428,2451
12099000505,1428,1791
04013040539,1427,2902
12009066104,1427,2294
12101030906,1427,2907
17089854504,1427,3181
23019027000,1427,2463
33015103100,1426,2971
05007020801,1425,2147
12019030701,1425,3227
12101031101,1425,2217
12111381401,1424,2401
36005032300,1424,2725
42091203204,1424,2905
06017030711,1423,2827
17197880503,1423,2087
45051051605,1422,3216
47009011503,1422,2855
04013010104,1421,1737
12017451502,1421,2723
13073030503,1421,4729
34031124321,1421,3082
36119008901,1421,2748
04013040531,1420,2016
25001010800,1420,2327
36081071304,1419,3103
45013010700,1419,2230
